review,rating,split
ONT2 Amazon,negative,train
Good company to work,positive,train
Outbound Problem Solver,negative,train
Very Friendly environment,positive,train
Local Data Quality Evaluator - Geo EMEA,positive,train
Join TRMS only if you love Drugs!,negative,train
Account Manager at AWS,positive,train
Review,positive,train
Good people twisted by performance review process old or new.,negative,train
Physically demanding,negative,train
iOS App Reviewer,negative,train
Not what is promised,negative,train
"Good money, but no life",negative,train
"At-home Advisor. Not for everyone, but good for some.",positive,train
Good but not great,negative,train
It all depends on your team,negative,train
msit,positive,train
Microsoft working experience,positive,train
Not a good first job,negative,train
Sde,positive,train
Director,positive,train
Idealism buried deep under a decades old corporate culture,negative,train
Great overall place to work,positive,train
Pushing a boulder up hill,negative,train
Sick place.,negative,train
Not as glamorous as it might seem,negative,train
Microsoft Retail,negative,train
Abc,positive,train
Retail Store- Product Advisor,positive,train
Disruptive company... for all the wrong reasons!,negative,train
very good company.,positive,train
Packer - Pack Singles,negative,train
Terrible place to work,negative,train
Good company but some management idiosyncrasies,positive,train
software engineer,positive,train
Intern,positive,train
Sortation Associate Concord NC,negative,train
Where Mediocre Innovation Meets Corporate Greed,positive,train
this job almost ruined me.,negative,train
"Some good, some bad",negative,train
Best company for non Tech,positive,train
Strategist,positive,train
Awesome Amazon,positive,train
Not a happy place,negative,train
Good place for college grads,negative,train
A great company requiring serious improvements,positive,train
BNA2 Fulfilment Associate,negative,train
It's a great experience!,positive,train
Good if you are dedicated.,positive,train
"Decent pay, no work-life balance",negative,train
"Awesome place to learn a lot, but be conscious it is a big company.",positive,train
Loved it until,negative,train
Great employer if you keep up with the game.,positive,train
Tier I,positive,train
nice but short,positive,train
Feels much more like big company than they'd lead you to believe in the interview process.,negative,train
Bogged down by bureaucracy,negative,train
assist to steve jobs,negative,train
The implementation of IT companies in Africa is working very well and people like Amazon.com are leading,negative,train
50/50 Chance for a good experience,positive,train
Premier Opportunity,positive,train
Ship Clerk,negative,train
Great,positive,train
"Overall, good",positive,train
ISS Rep,positive,train
Its a job,negative,train
Campus Representative,positive,train
One of the best places to work right now,positive,train
A good learning experience,positive,train
Facilities Tech,positive,train
Not bad,positive,train
The rumors are true...horrible experience. Grocery team is a nightmare!,negative,train
Warehouse Associate,negative,train
Ups and Downs,positive,train
Politics and stack ranking are a live and well,negative,train
Senior Compliance Associate,negative,train
Sales Associate,positive,train
Senior Product Marketing Manager,positive,train
Great place to work!,positive,train
Microsoft Review,negative,train
If you have a disability - you are not welcome,negative,train
"Not Bad, But they are getting better",positive,train
Consultant,positive,train
QAE review,negative,train
Awesome Place To Work,positive,train
Employee empowerment,positive,train
bar-raiser,negative,train
warehouse associate,negative,train
"No management, partiality, constantly changes everything",negative,train
Ups and Downs. But sometime more downs,negative,train
Apple Retail,negative,train
Senior Software Engineer,negative,train
Not a Bad Job,positive,train
Good product...great job for students,positive,train
AHA Technical Support,positive,train
principal research manager,positive,train
Human Resources Business Partner,negative,train
Better for the customer than for the employee,negative,train
Cushy job but uninspired culture,positive,train
Warehouse,negative,train
Researcher,positive,train
Ambassador,positive,train
Picker,negative,train
"Good atmosphere, smart people",positive,train
"An extremely easy job. Seriously, nobody can mess this up.",negative,train
Love It,positive,train
B2B sales,negative,train
Horrible,negative,train
I still have nightmares about this place and wake up in cold sweats.,negative,train
Eagerly awaiting the post-Ballmer era,negative,train
Overall pretty good,positive,train
Working at Apple,positive,train
Business Progam Lead,positive,train
picking,negative,train
"Fast paced, sink or swim environment",positive,train
Management,positive,train
Contractor,negative,train
Humble and competetive culture,positive,train
Overworked underpaid,negative,train
"Smart, conscientious coworkers and an employer that treats us well",positive,train
associate,negative,train
Great for me but definitely not for everyone,positive,train
quality assoicate,positive,train
The Worst Place to Ever Work,negative,train
Great and complicated place to work,positive,train
Senior Project Manager,negative,train
Great experience with incredible people and healthy company culture,positive,train
My review,positive,train
Warehouse,negative,train
Toxic management,negative,train
Amazon Prime,negative,train
"Great career opportunities, if you have a good manager",positive,train
Cloud Support Engineer 2,positive,train
work load,positive,train
Worst place to start your career,negative,train
The quotas are ridiculous after peak season,negative,train
Tier 1,positive,train
Not worth it,negative,train
Cloud Support,positive,train
Good place to work,positive,train
If you don't work in CS a great company,negative,train
Great place to learn,positive,train
Stay hungry Stay Foolish,positive,train
Great Place to work,positive,train
stower,negative,train
Always Day 1!!!!,positive,train
Great company to work for! A lot of responsibility for the pay.,positive,train
Great Part-time Job!,positive,train
Digital associate,positive,train
One person can ruin your career,negative,train
Great company if you like to stay the course,positive,train
The benefits are not worth the scarifies,negative,train
Customer Centric Company,negative,train
Retail Associate,positive,train
Area Manager,negative,train
Used to be a Great place to work,positive,train
software engineer,positive,train
Sales Assocaite,positive,train
Sr Supply Planner,negative,train
Doable for Short Term not a long term.,negative,train
Sales Development Specialist,negative,train
Very good company for you to grow as a well-rounded engineer,positive,train
No Work Life Balance whatsoever,negative,train
Software Developer,negative,train
Great,positive,train
Difficult company for warehouse employees,negative,train
Great company,positive,train
"Challenging, but work/life balance is tricky",positive,train
Review not necessarily for Apple but the specific job: Currently stuck in a thankless job,negative,train
Amazing Place,positive,train
Disappointing,positive,train
Area Manager,positive,train
Financial analyst,positive,train
Shockingly disappointed,negative,train
review of my experience at Amazon,positive,train
Great place to learn and grow,positive,train
Great Place to work,positive,train
Pathways internship program,positive,train
"Work Hard, Work Harder, Work Some More",negative,train
Know what you are getting into,negative,train
It can be a female very unfriendly environment. From both male coworkers and female bosses/HRs.,negative,train
"Pivotal Experience, Overall, Positive",positive,train
"HIGH turnover, Some OT and maybe some unpaid voluntary time off",negative,train
"A nice company for fresh graduates to learn, but not for mature engineers to innovate.",negative,train
Great place to work if you actually want to work,positive,train
