review,rating,split
Associate,0,test
Associate,0,test
nice,1,test
MS Reiview,1,test
Average warehouse expectations,0,test
"Agile, lacking work life balance",1,test
Broken dreams - too much sacrifice to my family without anything in return.,0,test
"Lots of hype, substance is lacking.",0,test
Meh,0,test
"Amazon CHENNAI - SDE1 - Poor work life balance, poor management",0,test
"A good place to work, but could be better",1,test
"Former Full-timer, now Part-timer.",0,test
The startup company,0,test
"Fast moving, engaging with lots of resources",1,test
Long time employee grew up,1,test
Account manager,1,test
Customer Service Associate,0,test
Stay far away SDE's,0,test
Family Room Specialist,1,test
ADPS,1,test
Great company!,1,test
"Learn a lot if you are young here, but overall not a happy place",0,test
Software Development Engineer II,1,test
waste of time,0,test
Don't fall into the hype,0,test
Apple,1,test
Don't work here if you came from a startup environment,0,test
Best place to end your engineering career.,0,test
Ownership and opportunity,1,test
just okay,1,test
Senior Advisor,0,test
Amazon Has given every single thing i needed,1,test
smoke and mirrors,1,test
Good wage however favourtism is blatant and good achievements often not rewarded,0,test
UI desigher,1,test
"Quick promotions for smart, hard workers.",1,test
Warehouse Associate,0,test
Everything you've heard is true,0,test
Area Manager,0,test
neat,1,test
Average Work place,1,test
"Great place to work, lots of options to never get bored!",1,test
"Days at the Apple store are long but quick, you have to be high quality to enjoy your career here.",1,test
Experience at Amaon,1,test
Great place to work,1,test
Got me into tech,1,test
Picking manager,0,test
Marketplace Manager,0,test
Catalog Associate,1,test
Great Experience!,1,test
Specialist,1,test
Moving to product focus at expense of Technical expertise,0,test
Good employee,0,test
Life of Amazon Employee,0,test
Great company to work for... few bad apples in the leadership,1,test
Great place to be a SWE,1,test
it is what it is.,0,test
Amazon Delivery Station,1,test
eeeeehhhhhh,0,test
Microsoft GTSC Bangalore,1,test
"Poor Work/Life Balance, Fragile Legacy Systems, Primitive Tools",0,test
Human Resources,0,test
Poor people treatment,0,test
CSA,0,test
Business,0,test
Order Picker,1,test
Worst employer in America,0,test
The Good and the Bad,0,test
The company lower the bar in hiring,1,test
Data Support Engineer,0,test
Good for a temporary job.,0,test
Leadership,0,test
Nice place to work if you can find the right team,1,test
Sr Program Manager,1,test
Almost five years in,0,test
EU CENTRAL FLOW LEAD,1,test
Stressful,0,test
Marcom operation managerment,0,test
Best Career Choice I have made,1,test
software development manager,1,test
Area Manager,0,test
"Great culture, except for the Contact Centre ethos",1,test
Aha horrible culture,0,test
Political,0,test
"Great in the beginning, not so great in the end...",1,test
Newer employee,1,test
Good compnay,1,test
Finance Intern,1,test
Sorter,0,test
