review,rating,split
ONT2 Amazon,0,train
Good company to work,1,train
Outbound Problem Solver,0,train
Very Friendly environment,1,train
Local Data Quality Evaluator - Geo EMEA,1,train
Join TRMS only if you love Drugs!,0,train
Account Manager at AWS,1,train
Review,1,train
Good people twisted by performance review process old or new.,0,train
Physically demanding,0,train
iOS App Reviewer,0,train
Not what is promised,0,train
"Good money, but no life",0,train
"At-home Advisor. Not for everyone, but good for some.",1,train
Good but not great,0,train
It all depends on your team,0,train
msit,1,train
Microsoft working experience,1,train
Not a good first job,0,train
Sde,1,train
Director,1,train
Idealism buried deep under a decades old corporate culture,0,train
Great overall place to work,1,train
Pushing a boulder up hill,0,train
Sick place.,0,train
Not as glamorous as it might seem,0,train
Microsoft Retail,0,train
Abc,1,train
Retail Store- Product Advisor,1,train
Disruptive company... for all the wrong reasons!,0,train
very good company.,1,train
Packer - Pack Singles,0,train
Terrible place to work,0,train
Good company but some management idiosyncrasies,1,train
software engineer,1,train
Intern,1,train
Sortation Associate Concord NC,0,train
Where Mediocre Innovation Meets Corporate Greed,1,train
this job almost ruined me.,0,train
"Some good, some bad",0,train
Best company for non Tech,1,train
Strategist,1,train
Awesome Amazon,1,train
Not a happy place,0,train
Good place for college grads,0,train
A great company requiring serious improvements,1,train
BNA2 Fulfilment Associate,0,train
It's a great experience!,1,train
Good if you are dedicated.,1,train
"Decent pay, no work-life balance",0,train
"Awesome place to learn a lot, but be conscious it is a big company.",1,train
Loved it until,0,train
Great employer if you keep up with the game.,1,train
Tier I,1,train
nice but short,1,train
Feels much more like big company than they'd lead you to believe in the interview process.,0,train
Bogged down by bureaucracy,0,train
assist to steve jobs,0,train
The implementation of IT companies in Africa is working very well and people like Amazon.com are leading,0,train
50/50 Chance for a good experience,1,train
Premier Opportunity,1,train
Ship Clerk,0,train
Great,1,train
"Overall, good",1,train
ISS Rep,1,train
Its a job,0,train
Campus Representative,1,train
One of the best places to work right now,1,train
A good learning experience,1,train
Facilities Tech,1,train
Not bad,1,train
The rumors are true...horrible experience. Grocery team is a nightmare!,0,train
Warehouse Associate,0,train
Ups and Downs,1,train
Politics and stack ranking are a live and well,0,train
Senior Compliance Associate,0,train
Sales Associate,1,train
Senior Product Marketing Manager,1,train
Great place to work!,1,train
Microsoft Review,0,train
If you have a disability - you are not welcome,0,train
"Not Bad, But they are getting better",1,train
Consultant,1,train
QAE review,0,train
Awesome Place To Work,1,train
Employee empowerment,1,train
bar-raiser,0,train
warehouse associate,0,train
"No management, partiality, constantly changes everything",0,train
Ups and Downs. But sometime more downs,0,train
Apple Retail,0,train
Senior Software Engineer,0,train
Not a Bad Job,1,train
Good product...great job for students,1,train
AHA Technical Support,1,train
principal research manager,1,train
Human Resources Business Partner,0,train
Better for the customer than for the employee,0,train
Cushy job but uninspired culture,1,train
Warehouse,0,train
Researcher,1,train
Ambassador,1,train
Picker,0,train
"Good atmosphere, smart people",1,train
"An extremely easy job. Seriously, nobody can mess this up.",0,train
Love It,1,train
B2B sales,0,train
Horrible,0,train
I still have nightmares about this place and wake up in cold sweats.,0,train
Eagerly awaiting the post-Ballmer era,0,train
Overall pretty good,1,train
Working at Apple,1,train
Business Progam Lead,1,train
picking,0,train
"Fast paced, sink or swim environment",1,train
Management,1,train
Contractor,0,train
Humble and competetive culture,1,train
Overworked underpaid,0,train
"Smart, conscientious coworkers and an employer that treats us well",1,train
associate,0,train
Great for me but definitely not for everyone,1,train
quality assoicate,1,train
The Worst Place to Ever Work,0,train
Great and complicated place to work,1,train
Senior Project Manager,0,train
Great experience with incredible people and healthy company culture,1,train
My review,1,train
Warehouse,0,train
Toxic management,0,train
Amazon Prime,0,train
"Great career opportunities, if you have a good manager",1,train
Cloud Support Engineer 2,1,train
work load,1,train
Worst place to start your career,0,train
The quotas are ridiculous after peak season,0,train
Tier 1,1,train
Not worth it,0,train
Cloud Support,1,train
Good place to work,1,train
If you don't work in CS a great company,0,train
Great place to learn,1,train
Stay hungry Stay Foolish,1,train
Great Place to work,1,train
stower,0,train
Always Day 1!!!!,1,train
Great company to work for! A lot of responsibility for the pay.,1,train
Great Part-time Job!,1,train
Digital associate,1,train
One person can ruin your career,0,train
Great company if you like to stay the course,1,train
The benefits are not worth the scarifies,0,train
Customer Centric Company,0,train
Retail Associate,1,train
Area Manager,0,train
Used to be a Great place to work,1,train
software engineer,1,train
Sales Assocaite,1,train
Sr Supply Planner,0,train
Doable for Short Term not a long term.,0,train
Sales Development Specialist,0,train
Very good company for you to grow as a well-rounded engineer,1,train
No Work Life Balance whatsoever,0,train
Software Developer,0,train
Great,1,train
Difficult company for warehouse employees,0,train
Great company,1,train
"Challenging, but work/life balance is tricky",1,train
Review not necessarily for Apple but the specific job: Currently stuck in a thankless job,0,train
Amazing Place,1,train
Disappointing,1,train
Area Manager,1,train
Financial analyst,1,train
Shockingly disappointed,0,train
review of my experience at Amazon,1,train
Great place to learn and grow,1,train
Great Place to work,1,train
Pathways internship program,1,train
"Work Hard, Work Harder, Work Some More",0,train
Know what you are getting into,0,train
It can be a female very unfriendly environment. From both male coworkers and female bosses/HRs.,0,train
"Pivotal Experience, Overall, Positive",1,train
"HIGH turnover, Some OT and maybe some unpaid voluntary time off",0,train
"A nice company for fresh graduates to learn, but not for mature engineers to innovate.",0,train
Great place to work if you actually want to work,1,train
Disappointing Warehouse Job,0,train
"Apple Retail is retail 100%, set your expectations accordingly...",0,train
Program Manager,1,train
Microsoft SDE,0,train
Nice place to work,1,train
High turnover of warehouse associates,0,train
"Only Hype, maybe it was a good company a few years ago. No longer.",0,train
Quick Review,1,train
Working as ML scientist,1,train
Innovate and interesting,1,train
The only thing good is the money,0,train
Success dependent on one's direct manager,0,train
Looks only good on the resume....,0,train
Embrace change,1,train
100% Honest,0,train
"Great company, terrible company to work for.",0,train
Good & Bad,0,train
Account Manager,1,train
"If it sounds too good to be true, it is.",0,train
lot's of politics,0,train
So happy to be working here.,1,train
Software engineer,1,train
"Limited career growth, great pay/benefits",0,train
Great start... Terrible end,0,train
"worst company,management, full of lies, deception",0,train
Great place if you like IT,1,train
Amazon,1,train
good company,1,train
Has great benefits,1,train
"Great Benefits, Terrible Management",0,train
iOS Senior Advisor T2,1,train
Being an Amazonian is soooooooo amazing!,1,train
Chaos to the max!,0,train
Catalogue manager,0,train
MS,1,train
Software Engineer,1,train
Amazon Logistics Center - Warehouse Operative,0,train
"Mushroom management philosophy (keep it dark, spread lots of manure, cut off any heads that stick up)",0,train
It was amazing until it wasn't.,0,train
great company,1,train
"Large company, brilliant colleagues, amazing perks.",1,train
Okay if you need the money,0,train
Needs a lot of improvement,0,train
Auditor,1,train
"Tough environment, shark eats shark",0,train
Amazon is a great company with a unique culture that I'm glad I have been able to experience.,1,train
Spent my life at Microsoft,0,train
Engineer,0,train
Sp¨¦cialist,1,train
Amazon Operationd,1,train
I don't recommend to work @ Amazon in Spain,0,train
"Many opportunities, but also chaotic.",1,train
Software Engineer,1,train
Amazing.,1,train
Work,1,train
Stay away from amazon,0,train
"Decent pay, good location, no complaints",1,train
Pay and work life balance,0,train
