rating,review,split
2,amazing training,train
1,place social poeple aspire become robot correct place,train
1,250 million cash reserve cannot pay living wage,train
1,account manager,train
2,great retail job,train
1,never enough,train
1,staffing coordinator,train
1,feel like circling drain,train
2,usually great,train
1,multicultural crowded net,train
2,great company load opportunity growth well horizontal movement,train
1,thay keep people,train
1,soltuion specialist,train
2,great company,train
1,customer relation advisor,train
1,viewpoint contractor,train
1,genius,train
2,vp product,train
1,diverse company,train
1,microsofts slippery slope,train
1,great place learn culture recognition,train
1,great name lousy pay,train
1,pm,train
1,apple retail becoming like real job,train
2,great culture hard work,train
2,amazon amazing work,train
1,fc associate,train
1,awful management,train
1,operation administrative assistant,train
2,bad,train
1,shift manager,train
2,exciting place,train
2,great company highly technical group,train
2,good great place work,train
2,good job opportunity,train
1,work temporarily unless hate,train
2,greatest,train
1,product advisor hell,train
2,proud work,train
1,apple buy owns,train
1,ups down,train
1,job,train
1,modern day plantation,train
2,specialist,train
1,data analyst,train
2,fast pace easy job,train
2,apple hiatus go away quickly,train
1,good company,train
1,warehouse associate,train
2,depends manager team,train
1,exciting business fast moving environment,train
1,would hire anyone point high turn around,train
2,great engineering org,train
1,painful dull work,train
1,best worst ad,train
2,technical account manager,train
2,good place learn grow,train
2,google junior programming analyst review,train
2,good highly dependent team,train
2,ux designer ii l5,train
1,ok,train
1,supportengineer iii,train
2,amazon lead,train
1,amazon,train
2,fantastic company,train
2,ok place work,train
1,great benefit stimulating work environment politics performance stack ranking make challenging stay,train
1,apple retail crabtree valley mall,train
1,pathetic manager,train
2,google hardware rock,train
2,itunes movie editor,train
1,cloud sale azure,train
1,floor health,train
2,current feedback,train
2,genius,train
1,awful,train
1,smartest underpaid individual ever worked,train
1,good,train
1,college grad labor mill family like happiness,train
2,manager,train
1,development management,train
2,good place learn,train
1,work came startup environment,train
1,medical insurance cover riddled ageism,train
1,warehouse associate,train
2,sde,train
2,great place work wlb need worked,train
1,technician role,train
2,long haul,train
1,good company opportunity crippling culture cut throat performance system,train
2,first review,train
1,nice,train
1,terrible place work,train
1,operation,train
1,stayed money,train
2,fastpaced fun customer obsessed environment,train
1,good experience,train
1,amazon,train
1,possition review,train
1,ugh,train
1,terrible sale,train
1,cheap much room long term,train
2,great put work,train
1,want robot job,train
1,clockwork,train
1,success dependent one direct manager,train
1,much,train
1,worst employee hr manager,train
1,much potential yet disappointing,train
2,good,train
1,tolerable like bureaucracy constant boredom,train
1,screwing new employee,train
2,love,train
2,csa job,train
2,great work environment,train
2,overall,train
1,management around,train
