rating,review,split
1,nothing shout,train
1,feel stuck,train
2,lead vendor program,train
1,ugh,train
2,great company,train
1,support engineer,train
1,facility tech,train
1,sorter,train
2,great company smart people set boundary,train
1,game card engineering,train
2,creative,train
1,5 year mostly waste time building subpar product,train
2,business planner,train
1,friendliest environment,train
1,work life balance even think,train
1,policy,train
1,fast paced demanding,train
2,love company,train
1,horrible,train
1,good place work anymore,train
2,course apple,train
2,sr program manager,train
1,amzn eval,train
2,seattle centric,train
2,spirit,train
1,poor work culture,train
1,customer service associate,train
1,virtual customer service associate,train
2,microsoft,train
1,expect advancement management hit miss,train
2,transaction risk investigator,train
2,okay,train
2,major league,train
1,join trm love drug,train
1,recruiter,train
2,great place internship absolutely lifechanging experiencing community everyone passionate,train
2,best retail company work,train
2,gm sale,train
1,hard work physically low pay working hard one thing slave driver,train
2,excellent,train
1,run bro,train
2,solid place work great learn,train
2,genius,train
2,great,train
1,okay need money,train
2,great company great environment,train
2,working recruiting,train
2,best,train
1,amazon mcdonalds,train
1,hell earth,train
1,good benefit,train
1,awful compensation coworkers,train
2,high expectation,train
1,travail famille impossible,train
2,great place get skill discount work cool people,train
1,picker,train
1,leadership,train
1,lot growth opportunitybut beware long hour,train
1,benefit,train
1,operation engineering position technician pay,train
2,program manager,train
2,product manager,train
2,apple,train
1,great people without college,train
2,fantastic company,train
1,like 25 bad portrayed medium,train
2,best place go refine skill set,train
2,program manager,train
2,great place grow prepare pay,train
2,good job major change though,train
2,sde,train
1,microsoft worse place work entire career,train
1,detached,train
2,product advisor,train
1,sound good true,train
2,ship dock,train
2,great place work amazing opportunity develop business idea,train
2,great,train
1,vendor support,train
2,workforce management analyst,train
2,good place work,train
2,university software development,train
1,operation manager,train
2,icqa tier 3,train
1,tsp inside sale might good place,train
1,interesting place work let politics,train
1,good,train
1,horrible company work,train
1,longer place,train
2,great project,train
1,awful worklife balance,train
2,well rounded engineering experience,train
2,manager,train
1,kind cruel never know going get day,train
2,decent job money,train
1,average tenure amazon employee 9 12 month,train
2,intern,train
1,warehouse,train
1,desperately trying stay relevant,train
1,former fulltimer parttimer,train
1,know,train
1,strong,train
1,would recommend,train
1,love people value,train
2,love working amazon,train
1,picker,train
1,vcm note review team vcm amwas part,train
1,avoid like fire,train
1,tough job,train
2,average place work,train
2,good job,train
1,university recruiting,train
1,contract,train
2,great company taking thing chin self imposed,train
1,far good,train
1,unending barrage work stress poorly mitigated one retention method monetary compensation,train
2,downward spiral,train
2,worked employee,train
1,shame,train
1,long hour political,train
2,difficult get promoted,train
1,microsoft review,train
1,definitely meritocracy,train
2,sde microsoft,train
1,bad,train
2,good company work,train
1,temporary full time holiday,train
2,specialist apple retail,train
2,specialist,train
1,amazing coworkers horrible managment,train
1,company review,train
2,company,train
1,employee may act happy facing customer actually miserable,train
1,okay need work,train
1,current employee tech specialist,train
1,senior fraud investigator,train
2,fast paced development high pressure,train
2,software development engineer,train
1,bad culture horrible favoritism,train
2,senior marketing manager,train
2,fast pace work environment,train
1,instructional designer,train
2,great company work,train
2,program manager,train
2,great place,train
2,great employer depending group need become design company,train
2,good place build,train
1,senior manager,train
2,big bloated,train
2,nice start,train
2,overall experience,train
2,good terrible depending manager,train
2,good,train
1,senior sw engr,train
1,operation managerdvd hub,train
1,tell brag ill tell lack,train
1,amazing company weird culture,train
1,great company broken building,train
2,good job inbetweeners student bored parent,train
1,inherit wind,train
1,emt employment,train
2,experience within amazon,train
1,cr advisor,train
2,great job college,train
2,engineering manager,train
1,home advisor pretty,train
1,sr product manager,train
2,aws seems operate little differently consumer side,train
2,manager,train
2,awesome place work,train
2,good company,train
1,get lured pay trap,train
1,apple home advisor technical support,train
2,service engineer,train
2,great internship experience,train
2,seasonal staff,train
1,stock price tripled lot hard work,train
1,avoid,train
2,software development intern,train
1,keep,train
1,cheap much room long term,train
2,innovative customer obsessed,train
2,solid company want stable job,train
2,customer sale rep,train
1,good place work unless,train
1,good,train
2,business analyst program manager,train
1,people come go,train
2,company great resource training career potential need focused customeräs business,train
2,program manager,train
1,smart people bureaucracy politics like cancer,train
1,project manager,train
1,cog,train
1,dont care hard worker,train
1,bad job get management level,train
1,great company,train
2,customer service,train
