dates,label,Year,Month,Yearmonth
"Dec 11, 2018",1,2018,Dec,2018-12-01
"Jun 21, 2013",1,2013,Jun,2013-06-01
"May 10, 2014",1,2014,May,2014-05-01
"Feb 8, 2015",1,2015,Feb,2015-02-01
"Jul 19, 2018",1,2018,Jul,2018-07-01
"Dec 9, 2018",1,2018,Dec,2018-12-01
"Dec 11, 2018",1,2018,Dec,2018-12-01
"Dec 11, 2018",1,2018,Dec,2018-12-01
"Dec 10, 2018",1,2018,Dec,2018-12-01
"Dec 9, 2018",1,2018,Dec,2018-12-01
"Dec 8, 2018",1,2018,Dec,2018-12-01
"Dec 8, 2018",1,2018,Dec,2018-12-01
"Dec 4, 2018",1,2018,Dec,2018-12-01
"Dec 3, 2018",1,2018,Dec,2018-12-01
"Dec 6, 2018",1,2018,Dec,2018-12-01
"Dec 6, 2018",1,2018,Dec,2018-12-01
"Nov 29, 2018",1,2018,Nov,2018-11-01
"Dec 2, 2018",1,2018,Dec,2018-12-01
"Dec 1, 2018",1,2018,Dec,2018-12-01
"Dec 3, 2018",1,2018,Dec,2018-12-01
"Nov 26, 2018",1,2018,Nov,2018-11-01
"Dec 2, 2018",1,2018,Dec,2018-12-01
"Dec 1, 2018",1,2018,Dec,2018-12-01
"Nov 30, 2018",1,2018,Nov,2018-11-01
"Nov 29, 2018",1,2018,Nov,2018-11-01
"Nov 29, 2018",1,2018,Nov,2018-11-01
"Nov 28, 2018",1,2018,Nov,2018-11-01
"Nov 17, 2018",1,2018,Nov,2018-11-01
"Nov 27, 2018",1,2018,Nov,2018-11-01
"Nov 20, 2018",1,2018,Nov,2018-11-01
"Nov 21, 2018",1,2018,Nov,2018-11-01
"Dec 9, 2018",1,2018,Dec,2018-12-01
"Nov 24, 2018",1,2018,Nov,2018-11-01
"Dec 8, 2018",1,2018,Dec,2018-12-01
"Nov 20, 2018",1,2018,Nov,2018-11-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Dec 6, 2018",1,2018,Dec,2018-12-01
"Dec 6, 2018",1,2018,Dec,2018-12-01
"Dec 6, 2018",1,2018,Dec,2018-12-01
"Nov 21, 2018",1,2018,Nov,2018-11-01
"Dec 4, 2018",1,2018,Dec,2018-12-01
"Nov 13, 2018",1,2018,Nov,2018-11-01
"Dec 4, 2018",1,2018,Dec,2018-12-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Dec 2, 2018",1,2018,Dec,2018-12-01
"Dec 2, 2018",1,2018,Dec,2018-12-01
"Nov 16, 2018",1,2018,Nov,2018-11-01
"Nov 15, 2018",1,2018,Nov,2018-11-01
"Nov 27, 2018",1,2018,Nov,2018-11-01
"Nov 9, 2018",1,2018,Nov,2018-11-01
"Nov 11, 2018",1,2018,Nov,2018-11-01
"Nov 4, 2018",1,2018,Nov,2018-11-01
"Nov 22, 2018",0,2018,Nov,2018-11-01
"Nov 20, 2018",1,2018,Nov,2018-11-01
"Nov 5, 2018",1,2018,Nov,2018-11-01
"Nov 22, 2018",1,2018,Nov,2018-11-01
"Nov 21, 2018",1,2018,Nov,2018-11-01
"Nov 6, 2018",1,2018,Nov,2018-11-01
"Nov 6, 2018",1,2018,Nov,2018-11-01
"Nov 21, 2018",1,2018,Nov,2018-11-01
"Nov 5, 2018",1,2018,Nov,2018-11-01
"Nov 5, 2018",1,2018,Nov,2018-11-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Nov 1, 2018",1,2018,Nov,2018-11-01
"Nov 19, 2018",1,2018,Nov,2018-11-01
"Nov 4, 2018",1,2018,Nov,2018-11-01
