summary,rating,Topic
Best Company to work for,1,2
"Moving at the speed of light, burn out is inevitable",1,0
"Great balance between big-company security and fun, fast-moving projects",1,3
The best place I've worked and also the most demanding.,1,1
"Unique, one of a kind dream job",1,3
NICE working in GOOGLE as an INTERN,1,0
Software engineer,1,1
great place to work and progress,1,3
Google Surpasses Realistic Expectations,1,0
Execellent for engineers,1,3
Nice place to work,1,2
Software Engineer,1,1
Best Company to Work For!,1,2
Still the best place to work!,1,2
Mba Intern,1,2
Review,1,1
Review of Google,1,0
Analysts,1,3
Great Company With No Down Sides,1,1
Senior Account Manager,1,2
"Great, but great can always be better",1,2
Great company to work for,1,3
,1,0
Software Engineer,1,1
Accountant,1,3
Good Company to Work for,1,2
Great culture,1,3
"Not perfect, but still the best place in the world to work",1,1
Great place to work,1,3
Great,1,3
IT Employee,1,0
Senior Director,1,3
Is very good,1,2
Google is still the best place to be,1,2
Google,1,0
Good place to work,1,2
Senior Software Engineer,1,1
Good compensation,1,2
"Great perks, bad work-life balance",1,3
Best of the best,1,2
Manager,1,2
Hard to beat,1,1
Big Tech,1,1
Great place to work,1,3
Positive Experiences,1,3
Great pay,1,3
Make sure you know what role you're applying for,1,1
Its Google,1,0
g,1,0
meh,1,0
Good place,1,2
cs analyst,1,0
Best Job I Ever Had,1,2
Amazing,1,2
Top Tech Company in the World,1,1
Depends on what you're looking for,0,3
Senior Software Engineer,1,1
Google Summer Internship,1,3
good place,1,2
"Good Company, can be long hours",1,2
Project Manager,1,0
Great working environment,1,3
not too bad,1,3
Outstanding,1,3
IT Intern,1,1
"Great benefits, but large enough to get lost in.",1,0
Good work life balance and perks,1,3
Engineer,1,1
Amazing place to work,1,2
Associate Account Strategist,1,3
Nice company,1,2
Love to work here!,1,1
outstanding performance given by the staff,1,0
Like a dream,1,3
great to work for,1,3
"Amazing place to work, challenging environment",1,3
Great place,1,3
Good company that I like,1,3
Software Engineer,1,1
Account Manager,1,3
Google work life balance,1,3
Not great for new hires,1,1
Analyst,1,3
Intern,1,1
"Great perks, interesting colleagues, zero work/life balance",1,3
Senior Software Engineer,1,1
Perks/work environment still unmatched by any other company,1,3
Head of Sales,1,0
"Great people and culture, solid benefits, lots of opportunities",1,3
Great place,1,3
UX Engineer,1,3
China Search Project is Concerning,0,2
Software Engineer,1,1
Administrative Business Partner - Sales,1,2
Perfect,1,1
Great place to work,1,3
Research Intern,1,0
Software Engineer,1,1
Great job with lots of benefits,1,3
Google - as magical as you think it is,1,0
Manager,1,2
pockets of incompetence,0,0
Creative Lead,1,3
Janitor,1,2
Counsel,1,1
Product Manager,1,2
wonderful place to work,1,2
Customer Engineer Google Cloud,1,1
"Great work environment, odd team assignment",1,3
Average with a hint of arrogance,1,1
"Great place to work, but too many unmotivated leaders",1,2
Great company to work at,1,3
Bleh,1,0
Software Engineer,1,1
Group Product Manager,1,2
java,1,2
Amazing place,1,2
contractor,1,1
Amazing time and work!,1,2
Great company,1,3
Analyst,1,3
Software Engineer,1,1
google,1,0
WTF are they even doing?,0,0
All about the people,1,3
Great,1,3
Partner Engineer,1,2
Google,1,0
"Great people, nice benefits",1,3
Security Investigations,1,3
Pretty good,1,2
Good starting point for new grads,1,1
Company,1,3
Software Engineering Manager,1,1
Coder,1,1
"Decent Place to Work, But Large",1,0
"High stress, unclear future values",1,0
Operations manager,1,2
Intern Experience,1,1
Software Engineering Intern,1,1
Great atmosphere,1,3
Excellent Company,1,2
Overall is very good,1,2
Fun perks - wouldn't contract there again,0,3
Loved my time there!,1,2
Brand Ambassador,1,3
So far it has not been so long,1,2
Good company to work for,1,2
Was ok to work there but not fast paced,0,3
Product Marketer,1,1
Google is racist company,0,0
Work life balance is gr8,1,3
Software Engineer,1,1
Great company overall,1,2
Designer,1,0
Amazing workplace,1,2
Good,1,2
Great Place!,1,3
It was great.,1,3
Product Manager,1,2
Great Company,1,3
Good,1,2
Data Scientist,1,0
Associate,1,3
Cart Boy,1,2
Great Company,1,3
Very challanging,1,1
OK job,1,1
Supply Chain Program Manager,1,2
Data Analyst,1,0
Awesome and supportive place to work,1,3
Enjoyed It,1,0
PeopleOps,1,1
Hardware Engineer,1,1
Great place to work,1,3
Director,1,3
Software engineer,1,1
My experience at Google USA,1,0
Good place to work if you are not eager to do something,1,2
Review,1,1
data analyst,1,0
Google EP Intern,1,1
It's Google,1,0
Amazing experience,1,2
Meh,0,0
Amazing company! The best in its class!,1,2
Software Engineer,1,1
CEO who doesn't listen to employees,0,0
The hype is real.,1,0
good,1,2
Compensation Associate,1,2
Overall good company to work with,1,2
Love it,1,1
"Great vision, but sometimes unrealistic goals",1,0
Great Company,1,3
Good place to work,1,2
Love it!,1,1
Accountant,1,3
Challenging and rewarding work,1,3
"Great culture, but lots of cooks on some projects",1,3
Software ENgineer,1,1
Good company,1,2
"Great Company, Known Your Worth",1,3
Amazing place to work for,1,2
Awesome,1,0
Superb,1,0
Software Engineer,1,1
Good employer,1,2
Great company!,1,3
Software Engineer,1,1
Software Engineer,1,1
"Google people, ambitious objectives",1,2
BSA,1,1
A fun ride,1,3
Part time,1,2
Sales,1,0
Engineering Practicum Internship,1,1
The best company to work for!!,1,2
SWE Intern,1,1
Good Work but Hectic,1,2
Partnerships Manager,1,2
Programmer,1,1
A company culture build around the millenial sterotype,0,3
Great company - Long hours depending on position,1,2
Product Manager,1,2
Account Executive,1,3
Software Eng,1,1
"Great from afar, dysfunctional from within",0,3
Best place to work,1,2
Analyst,1,3
Software Engineer,1,1
Great Place to work,1,3
sde,1,2
Amazing ambitious workplace,1,2
Good,1,2
Senior Program Manager,1,2
Director of Developmental Sales & Marketing,0,0
"Great teammates, projects, pay, and perks",1,3
Awesome,1,0
Great Company to work with,1,3
"Love working at Google in Boulder, CO",1,1
Great coworkers and good environment to learn,1,3
Wonderful company,1,2
Youtube Partner Account Manager,1,2
Undeniably a great place to work,1,3
Great place to work,1,3
Google Cloud Sales,1,0
Great place to work,1,3
Best Company in the world!,1,2
Everything you��d think,1,1
Software Engineer,1,1
Engineer review for google company,1,1
Engineering Practicum Intern,1,1
Product Marketing Manager,1,2
Software Engineer,1,1
Site Reliability Engineering,1,0
Competitive perks and pay,1,3
It's a boost for a better things,1,2
Not the same company it used to be,1,2
Good Company,1,2
The best company of my career.,1,2
Great company to work,1,3
good,1,2
"understading data workflow, and how it effect to bussiness",1,0
Google,1,0
"Great place, especially if you find a project you like",1,3
Best Company,1,2
Good company to work,1,2
Good place to work,1,2
Engineer,1,1
"Comfortable, but not always best for ambitious people",1,2
Awesome,1,0
Forcing me to write a review,1,1
Program Manager,1,2
Great Company and Perks,1,3
Playstore Production Associate,0,3
Manager,1,2
No great expectations.,1,0
AdWords Representative,1,2
SQL,1,1
Great Company to Work For,1,3
"Great company, lots of benefits",1,3
Good job,1,1
Software Engineer,1,1
Google Cloud,1,1
Great opportunity!,1,3
Product Quality Analyst,1,2
UX Designer,1,3
Good company to work for,1,2
Director Sales,1,3
"Good company with good benefits, lots of red tape & big company process however",1,3
Account Manager,1,3
